id,gender,cogstm,emotsup,anti1,anti2,anti3,anti4,read1,read2,read3,read4
2,0,9,6,0,2,0,1,2.3,4.5,4.2,4.6
3,0,10,8,1,1,2,1,2.3,3.8,4.3,6.2
4,1,8,9,3,4,3,5,1.8,2.6,4.1,4
5,1,10,10,5,4,5,5,3.5,4.8,5.8,7.5
6,0,9,9,1,2,2,0,3.5,5.7,7,6.9
7,1,6,9,2,3,4,4,2.6,3.8,6.3,6.1
8,1,7,11,0,6,0,3,1.8,3.7,4.4,4.2
9,1,10,11,1,0,2,0,2.2,4,5.1,6.3
10,0,7,4,0,0,0,0,2.5,3.7,4.1,7.2
11,1,8,8,2,6,3,5,2.4,5,5.1,5.8
12,1,9,3,3,2,3,4,2.8,5.7,5.3,5.8
13,0,10,11,0,1,2,1,3.5,4.3,4.8,5.9
14,1,7,7,1,1,0,1,3.1,4.7,5.6,6.4
15,1,10,9,2,6,5,4,2.3,4.1,5.8,6.9
16,1,11,10,3,3,2,9,2.1,3.9,5,5.3
18,0,9,5,1,3,0,0,3.8,5.7,6.2,6.8
19,0,8,8,2,0,1,2,1.8,4.2,5.1,7.2
20,1,4,6,0,3,2,2,2.6,2.5,3.3,4.4
21,0,7,7,5,0,5,3,3.6,5.2,6,7.5
23,1,6,9,1,4,1,1,3,4.7,6.5,6.1
24,1,9,11,1,3,3,1,2.1,2.5,4,3.3
26,0,10,12,1,3,3,5,1.8,2.4,3.5,4.4
27,1,3,7,1,2,3,1,2.8,3.8,3.9,5
28,0,9,7,2,2,4,3,1.7,2.8,3.9,4.8
29,0,9,8,2,5,5,7,3.1,5.2,6.2,6.8
30,1,13,10,4,0,4,4,1.3,2.3,2.5,3.4
31,1,12,9,1,3,3,2,1.8,3.5,3.7,5.6
32,1,7,8,3,0,4,1,1.9,2.3,3,2.8
33,0,10,10,0,0,1,0,3.3,4.4,5.9,5.8
34,1,8,10,4,2,2,3,3.1,4.1,4.7,5.1
35,1,12,11,6,5,3,4,1.9,3,4.1,4.4
36,0,7,11,2,5,1,2,2.2,3.9,5.7,6
37,0,8,7,0,0,2,0,2.5,4,4.4,5.5
38,1,8,12,0,3,4,1,2.4,3.9,5.1,5.6
39,0,13,11,0,0,2,2,2,4.3,5,5.7
40,0,6,8,0,2,0,1,2.2,3.2,4.6,5.6
41,0,11,11,1,2,1,2,2.1,3.2,4.9,5.9
42,0,9,11,0,1,1,3,3.2,4,4.4,5.9
43,0,12,11,0,0,0,0,2.4,3.6,4.6,5.1
44,1,8,7,5,2,1,7,2.6,3.5,4.1,6.2
45,0,5,6,0,0,3,0,3.5,4.3,4.8,5.6
47,0,12,11,0,0,0,0,4.7,6,7,8
48,0,9,6,2,1,0,1,3.1,4.1,5.8,7.4
50,1,5,7,1,1,1,2,3.6,3.8,5.3,5.9
51,1,11,12,1,2,1,2,4,6.1,7.5,6.6
52,1,11,12,3,1,1,0,3.2,3.6,4.2,4.4
53,1,10,7,2,3,2,2,5.6,4.6,6,6.3
54,0,9,11,0,0,2,5,2.3,4.4,5.6,7.2
56,0,10,7,1,0,0,3,3.5,4.2,4.9,4.4
58,1,8,10,4,3,5,4,2.1,3,3.7,4.8
59,1,8,12,0,0,0,0,2.7,4.7,5.9,6.9
60,0,6,7,1,0,1,2,1.8,3.1,3.7,4.3
62,0,10,3,4,4,3,2,2.3,2.7,4.1,4.4
63,0,12,9,0,1,0,1,2.1,3.1,3.9,4.7
64,1,11,11,0,1,3,3,3.5,4.8,5.4,6.2
65,0,11,11,0,1,0,0,3.6,5.4,6.2,7.7
66,1,8,9,0,0,3,2,3.7,5.2,5.7,7.8
68,1,7,11,2,3,4,3,4.7,5.3,6.1,7
69,1,5,5,0,4,10,7,1.8,4.5,5.6,5.8
70,1,10,4,2,2,3,2,2.1,3.5,4.5,5.1
71,1,8,7,3,5,5,3,2.4,3.7,4.7,5.5
72,1,9,7,1,6,2,3,2.5,4.7,5.3,5.5
73,0,9,7,1,0,2,0,1.9,5.5,5.5,5.5
74,0,4,3,1,1,2,1,2.1,2.5,3.1,3.4
75,1,12,10,0,0,0,0,1.8,2.5,4,4.1
77,0,6,7,0,0,0,0,2.5,2.6,3.7,3.5
78,1,10,3,7,5,5,4,3.2,5.5,5.6,4.9
79,0,4,6,0,6,3,3,1.9,2.8,3.3,3.6
81,1,7,9,4,3,4,4,2.4,3.8,4.7,5.2
82,0,6,7,3,9,4,7,2.8,3.8,4.3,5
83,1,5,7,1,0,2,4,3.5,4.2,5.9,6.3
84,1,7,9,1,2,3,2,1.7,2.6,3.1,3.5
85,0,6,7,0,0,1,0,1.8,2.7,3.5,3.7
86,1,11,10,0,0,0,0,3.7,5.9,6.1,8.3
87,0,11,9,0,1,1,1,2,3.3,4,4.7
88,1,7,10,2,1,0,2,2,2.3,3.9,4.5
89,0,12,10,0,0,2,0,2,3.6,4.6,5.5
90,0,9,7,6,2,7,3,1.8,2.5,2.9,3.5
91,0,9,11,2,3,6,5,4.5,5.8,7.6,8
92,0,9,12,2,3,2,0,3.5,5,5.5,7.7
93,1,9,9,5,1,6,4,1.8,3.6,4.3,5.1
94,0,12,8,3,0,0,0,2.4,5.4,6.5,7.7
95,1,11,12,3,4,1,1,4.2,6.2,5.8,6.1
96,0,11,12,2,2,0,0,3.2,4.7,6.4,7.4
97,1,11,13,4,3,3,5,3.3,4.9,6.1,6.8
99,0,13,10,2,0,3,4,2.9,4.5,4.8,6.4
100,0,10,12,1,1,0,0,2.2,4.7,3.8,5.7
101,0,10,12,1,0,3,0,2.7,3.9,4.9,5.5
103,1,10,10,3,4,3,3,1.6,2.7,4,5.7
104,1,8,12,2,1,2,0,2.2,6,5,5.6
105,0,7,10,2,4,1,1,2.3,3.4,4.5,4.8
106,1,14,13,0,3,2,5,2.1,4.1,4.9,5.8
107,1,13,11,2,0,1,0,2.3,2.6,3.1,4
108,0,12,11,1,0,0,0,3.8,6,6,6.9
109,1,8,6,3,3,2,6,2.3,2.5,2.9,3.6
111,1,6,8,2,5,6,7,2,2.9,3.8,4.4
112,1,9,9,6,5,4,5,2.1,4.1,4.2,4.3
114,1,3,9,3,3,4,6,1.2,2,3.1,3.4
115,1,5,10,2,2,3,2,1.8,4.1,5,5.1
116,1,10,12,1,1,4,5,1.8,4.9,5.3,7.8
118,0,4,5,1,1,2,6,1.9,3.4,3.5,5
119,1,9,11,4,3,3,4,1.6,3.4,4.5,5.7
120,0,8,5,3,1,0,7,2.4,4.3,5.5,5.5
121,0,9,9,3,0,0,5,1.8,3.8,5.1,6.5
122,1,12,10,1,0,0,0,2,2.3,6.6,5.8
123,0,11,11,0,0,0,1,2,4,4.7,6
124,1,10,12,1,1,1,0,1.5,3.8,4.6,6.4
125,0,8,3,3,2,2,2,2.4,3.9,4.4,4.8
126,0,9,10,0,1,4,2,1.8,3.9,5.4,5.8
127,0,6,13,1,2,1,2,2,3.6,5.4,6.1
128,1,8,9,0,2,1,1,3.1,4.8,4.8,6.5
131,0,6,10,3,2,1,1,2.4,3.6,4.2,4.7
132,1,7,7,4,3,3,2,1.8,4.1,5.3,5.5
133,1,6,9,3,1,7,4,1.4,2.2,4,5.2
135,0,5,7,5,6,3,4,.7,2.8,3.7,4.1
136,1,10,9,1,1,0,1,2.3,4.1,5.7,6.7
139,1,9,11,2,1,0,0,2.2,4.3,6,6.3
140,0,10,10,0,1,2,2,2.3,3.2,4.5,5.3
142,1,9,10,1,1,0,1,1.7,4.1,5.4,7.3
143,1,9,7,0,2,5,3,4.3,5.3,8.4,7.9
144,1,10,11,1,1,2,1,1.8,3.9,5.6,6.5
145,1,12,13,0,1,1,2,1.8,4.3,5.1,7.2
146,1,9,11,1,0,0,0,1.7,3.1,5.4,6.1
147,1,9,12,2,3,1,0,2.2,2.9,3.4,5.1
149,0,10,9,1,1,1,2,2,4.1,7,8
150,1,13,12,1,3,1,5,2.1,4.6,5.8,6.8
151,0,13,12,0,0,0,1,2.7,4.9,5.6,6.7
152,1,10,11,4,2,2,2,3.8,4.7,6.3,6.7
153,0,12,6,0,1,1,1,3.5,4,6.1,6.2
154,1,12,9,0,0,1,2,2.7,4,5.9,6.5
155,0,6,8,1,0,0,0,1.8,3.9,4.7,5.8
156,0,8,9,0,0,0,0,3.5,4.8,5.9,6.7
157,0,9,11,0,1,1,3,1.7,4.2,4.8,5.6
158,0,13,7,2,1,2,1,2.3,4.9,5.9,6
160,1,13,9,3,5,0,0,3.8,4.8,5.4,7.1
161,1,10,12,3,2,0,2,3.2,3.6,4.7,5.9
162,0,4,9,2,4,4,4,1.4,3.6,5.2,6
163,0,9,11,1,1,3,5,3,4.1,5,5.5
164,0,10,11,0,1,0,1,4.3,5.6,5.5,5.8
166,0,12,12,2,1,1,2,4.4,5.4,5.8,6.3
167,1,13,8,2,6,6,6,1.7,4,4.9,5.2
168,1,12,10,0,0,1,1,2.4,5,5.7,6.9
170,1,11,10,0,0,2,1,2,3.9,4.9,7.7
171,0,11,5,2,4,4,0,2.7,3.4,4,4.7
172,0,14,12,0,1,2,0,3.1,4.9,6.1,6.7
173,1,8,9,1,3,2,5,1.8,3.6,4.6,4.7
174,0,9,9,2,1,2,1,2.2,3.3,4,4.2
175,0,11,11,1,1,1,1,3.7,5,6.9,5.7
176,0,10,9,1,0,0,0,3.5,5.7,6.1,6.7
177,1,12,8,0,0,0,0,3.1,5.4,6.6,7.8
178,1,12,7,7,1,3,3,2.2,5.3,5.7,6.1
179,0,11,13,1,2,1,2,2.2,4.7,5.5,6.6
180,1,8,9,1,0,0,0,3.6,5.6,8.3,7.9
183,0,11,7,1,3,3,3,2.5,3.9,5.3,5.1
184,0,6,11,0,0,0,0,2.2,5,6.1,8.1
185,1,8,9,1,4,2,1,2.1,3.4,4.3,4.4
186,0,12,10,0,1,0,0,2.6,3.8,5.8,6.1
188,0,8,11,1,2,2,4,2.1,4.7,7,8.2
189,0,12,10,1,1,0,0,2.6,4.4,4.6,5
190,0,11,7,7,6,6,5,2.8,2.8,3.9,4
191,1,14,10,0,3,1,0,1.9,4.8,5.8,7.4
192,0,7,10,1,2,2,1,2.5,4.3,6.5,6
193,1,6,12,0,1,1,0,3.3,4.2,4.4,6.6
194,1,12,13,0,1,0,1,3.2,5,6.5,7.2
195,1,6,11,2,1,0,2,1.8,2.6,3.1,4
196,0,11,11,0,0,2,0,2.2,2.8,3.4,4.5
198,1,12,11,1,1,0,1,1.9,3.8,5,4.8
201,1,6,10,3,5,1,4,1.7,3.7,4.7,7
202,0,11,11,0,0,0,0,2.2,5.1,6,7
203,1,10,8,3,4,4,1,1.7,1.6,2.2,2.5
205,0,11,8,0,0,0,0,1.8,3.2,5.3,5.9
206,1,12,10,0,0,0,0,4.5,5.2,6.1,7.9
207,1,10,10,0,0,0,0,2.1,5.5,6.8,6.9
208,1,12,11,2,0,0,0,1.7,2.1,2.4,3.4
209,1,6,7,0,2,1,0,1.3,2.6,3.4,4.2
210,0,10,11,2,2,2,2,1.7,3.7,5,6.5
211,1,3,9,1,3,5,8,2.1,4.7,5.7,5.2
212,0,8,10,1,0,1,0,3.4,4.6,5.8,6.4
213,0,8,12,3,2,4,3,1.6,5.2,5.6,6.6
214,1,10,7,0,0,0,2,2.1,2.4,3.4,3.9
215,1,9,8,0,2,2,4,5.1,5.7,6.3,7.5
217,0,5,9,3,6,3,3,4,5.2,5.7,8
218,1,9,8,4,2,3,1,1.6,2.5,2.6,3.7
219,0,11,9,2,1,4,4,1.8,4.9,5.9,7
220,1,10,12,0,0,1,1,1.8,3.3,4.4,6.1
221,0,4,10,2,1,0,0,1.7,3.7,5.5,6.3
